age,income,loan_amount,employment_length,dependents,existing_loans,transaction_frequency,spending_pattern,repayment_behavior,mobile_usage,utility_payments,social_activity,digital_payments,debt_to_income,digital_stability_index,default_risk
57,58690.052921826114,13733.44309923697,35,4,0,18,0.16178217891075786,0.037918938482738196,7.33574008270689,1,45,19,0.23399551406122002,1.5263157894736843,0
21,54804.11687892446,29944.263399672876,39,3,2,71,0.31792113147022005,0.15270344791900836,2.8412278268141464,1,31,16,0.7288418613889246,0.3611111111111111,1
19,75062.65649536486,14968.699925639372,35,5,2,86,0.30105594570404526,0.9285611378114237,4.559264686462901,0,46,33,0.332633675088572,0.3793103448275862,0
23,65798.39444361704,20603.97650526531,27,0,3,54,0.8082349860265949,0.8202850848593141,6.236044206772717,1,25,21,0.5410988475855057,0.5636363636363636,1
59,69391.38051505813,8963.164940853818,18,1,0,82,0.7457410191783792,0.14414864358275836,5.627686597108313,1,2,15,0.12916641386742472,0.30120481927710846,1
21,56537.108012208744,19024.7140266933,29,2,1,29,0.22711578663117385,0.05105107694044975,1.7085463570935011,1,10,20,0.42492957177671103,1.0,1
46,22214.025395780194,17200.747815550032,37,2,4,43,0.21318237155844832,0.15270947701619653,4.940567522031055,1,24,12,1.674575975169329,0.5,1
35,46086.02937706197,14547.951002726335,14,1,1,30,0.4793049601769249,0.5839289768666562,3.0644289307021033,0,38,33,0.4241529833219316,1.064516129032258,1
43,71201.7947981733,10985.937910642238,11,4,4,64,0.2386715597814101,0.6335678852239361,7.323774441208696,1,9,42,0.43517867519769293,0.8,1
61,48969.54142950708,9895.758674781006,1,2,4,56,0.48072038492695846,0.3789141312731049,11.234900684782357,1,44,44,0.6104845444238317,0.9473684210526315,1
51,60061.807372474934,17258.82131183722,8,1,3,74,0.7757556937565262,0.2808880505190937,2.53822091945898,0,0,6,0.5370848071051123,0.08,1
27,43625.033695077334,20031.51287757179,34,3,4,30,0.4999314030729385,0.20691014297126975,10.472477666060493,1,46,31,0.9176060596608593,1.3225806451612903,1
53,29403.7630291631,13982.69762964695,0,3,2,52,0.6795561414553144,0.43887212504904805,3.8833320891774217,0,49,12,0.8156058801038919,0.22641509433962265,1
31,47533.11871907779,17298.14343296634,30,1,2,58,0.3000574370951695,0.02256101983180303,8.57829615217295,1,6,31,0.5742852538046581,0.6949152542372882,1
48,56180.94886065308,14696.682574937844,27,0,3,45,0.31263011290940024,0.008706199486955946,7.68118817834044,1,16,18,0.5285804992025803,0.6086956521739131,1
65,36886.245610771126,15788.208199243103,36,4,1,5,0.5750265319471867,0.7977672529055005,3.3996626328750628,1,32,23,0.5635608692120108,5.5,1
32,45285.77510286663,13396.4401385822,6,4,1,25,0.7819438444247754,0.5303584839333781,5.063574526041009,1,46,43,0.4062210236166212,2.0384615384615383,1
25,31210.735160280346,15143.780634946466,15,1,1,82,0.5248881060384603,0.781211716669512,7.014248860882923,1,29,39,0.6453912456806049,0.5903614457831325,1
31,72384.89835128191,36584.32365453941,13,2,1,76,0.2586250186800843,0.11392657138366591,11.03080406570392,1,30,4,0.5744810053020911,0.18181818181818182,1
40,44110.88484823932,17493.0743904594,32,5,2,29,0.27426536897143794,0.8153321738871693,3.0272195158212782,1,26,27,0.6232577566124281,1.2333333333333334,1
57,79055.11090252367,20162.375667448345,5,4,2,22,0.5936118917360138,0.9227380972737245,4.780875630728378,1,37,16,0.38153123551244017,1.1304347826086956,0
38,80574.95701081817,18504.188842624775,20,4,3,19,0.18271458094726356,0.5333735485490368,11.938340648190298,1,30,39,0.4158087608953436,2.45,1
33,48379.080705565124,12897.465413623524,9,3,3,46,0.15238168524447782,0.10543704251214925,9.68563904724504,1,47,29,0.576631229356641,0.8297872340425532,1
62,29831.025349053005,25351.913706333344,31,3,3,24,0.18223426481828292,0.12324954737250449,5.226373734007697,1,25,49,1.3526374168093247,2.36,1
35,10000.0,12670.68983658927,5,3,1,20,0.413875597605606,0.1941824915687791,2.5641279037125617,0,17,10,1.766892294429484,0.47619047619047616,1
64,20559.25853946417,23440.43639154041,1,5,1,11,0.383496178667213,0.1852595333111352,6.508153585327101,0,43,44,1.3832723132810183,3.6666666666666665,1
41,22523.3035020268,12326.34401546841,38,4,2,97,0.10171727396860204,0.9448701098272653,7.421514067288022,1,8,14,0.9912112937680592,0.24489795918367346,1
43,77569.39254923009,7320.219846847673,26,4,2,99,0.22933764844864976,0.8002946556341385,3.841803403508292,0,27,35,0.22328390095300063,0.35,0
42,52316.49174453892,17923.169665889545,13,5,0,97,0.3780096796883827,0.31814182440439,8.832250584747628,1,22,9,0.3425846512941903,0.19387755102040816,0
62,57792.090481839754,6162.653151183147,22,4,0,85,0.4439684892048543,0.816576802456731,6.951482642297961,0,6,19,0.1066330438431845,0.22093023255813954,0
58,10000.0,19285.121800132874,38,2,1,9,0.4218377940200715,0.7721351380942271,5.037073313136685,0,47,29,2.4282693530779795,2.9,1
46,26040.671415654768,5446.730751269466,20,2,2,22,0.35569442197729584,0.35526489193152855,4.186175667621651,1,25,34,0.5931543526804417,1.9130434782608696,1
32,67741.59552892574,12447.935756217174,29,2,1,82,0.7495371006450483,0.029985016520006402,4.134560851470397,1,20,34,0.25756225636153834,0.5301204819277109,1
62,55735.48224765172,3546.162427802068,24,0,4,99,0.4328162512436521,0.008745017430682123,9.68809717526738,1,47,31,0.4224551223591817,0.41,1
18,47055.894426288054,37593.336075221836,23,4,0,22,0.6155784504167319,0.3256233527280119,6.480099534240464,1,31,11,0.7988911408956164,0.9130434782608695,1
42,61296.84717200245,1768.3235230694845,10,5,3,68,0.7659949267444965,0.04539539478712151,4.112291940024794,1,28,45,0.2735548521959895,0.7971014492753623,1
24,82715.9561227163,15078.509923171234,34,4,1,29,0.7829751617903589,0.12109504219241418,9.673024655644827,1,34,6,0.24273753368515374,0.5333333333333333,1
26,45579.15072925899,24146.43419464011,3,5,4,79,0.7856130484647931,0.2544395140404726,1.2399125356826173,1,26,17,0.9685451559137004,0.3375,1
41,51387.39605316139,23291.087268696203,36,1,3,30,0.49571780885140615,0.17902154164075723,11.948864670606387,1,46,27,0.7451310064062712,1.1935483870967742,1
18,53851.9383746261,21810.7369773851,35,1,4,73,0.6290569809333177,0.1447724257663413,10.775636689155137,0,3,44,0.7763872917486907,0.5945945945945946,1
61,97842.19270547986,12462.172894228195,12,0,2,20,0.3517368326985375,0.26214308934797725,9.172586227302954,1,30,10,0.22957318003555058,0.9523809523809523,0
25,10000.0,25808.711570696018,8,1,2,67,0.7894753104853582,0.7368922000130856,3.9303771980402677,0,10,33,3.580513105759026,0.4852941176470588,1
41,63664.46029577616,22307.12872641746,27,2,2,76,0.27064776505987187,0.4444358146296268,10.788660469999982,0,33,34,0.507451427765156,0.44155844155844154,1
28,47703.95502481873,16698.396941283812,15,0,3,81,0.7301638264372617,0.663200817106832,9.98162198086925,1,44,11,0.6644675993257424,0.25609756097560976,1
68,61335.434523683594,16924.64606181274,5,0,3,62,0.4758298662393371,0.9287611525147766,9.815167148135721,1,45,11,0.520484216432336,0.3333333333333333,1
34,36852.54892010551,12568.618819077019,26,0,2,31,0.3390296649536497,0.0013545415043190179,2.928794892588722,1,12,14,0.6123865809505438,0.75,1
25,49020.69938283099,7722.783793335693,9,3,3,53,0.4037266120649873,0.9512497734111847,7.77019225104598,1,0,39,0.4635250119724319,0.9074074074074074,1
52,64228.2115893099,24897.207803829733,22,1,2,94,0.5706155967314505,0.27913975268139624,10.899968884079243,1,19,18,0.5433229980614912,0.29473684210526313,1
52,112258.20402087682,25497.663948812253,20,4,1,77,0.8439867623098282,0.28750784348263525,6.549035664424553,1,33,39,0.271671834971684,0.6282051282051282,1
50,66160.72378804143,7927.126871760629,25,3,2,51,0.1780343889865569,0.6294090704062633,7.067321908969984,1,30,9,0.2709591867526419,0.36538461538461536,0
22,33038.68803938983,13769.718678830466,2,5,0,75,0.8355819013578388,0.3608546958881491,5.485458892950003,1,41,7,0.4167629749534633,0.2236842105263158,1
59,41524.80635954594,13852.614268328567,34,2,1,54,0.7525668154359282,0.08045803906860471,8.369581112193863,1,26,21,0.4539975480571188,0.5636363636363636,1
56,40931.71783232292,14738.75277007752,6,3,2,50,0.5698587530526933,0.7114475720212757,10.463807677984661,1,26,20,0.6043760121528584,0.5882352941176471,1
58,14087.1365473997,15514.359028700654,26,2,0,12,0.20427978176529182,0.18318822689050107,6.614901977732944,1,25,19,1.1012357082501587,2.230769230769231,1
45,43398.196165971254,22574.89169316944,32,4,2,6,0.7499642129276988,0.9293718709938338,11.658745436522226,1,14,4,0.7505874433386623,2.0,1
24,64656.5816364349,9022.261532106051,3,4,1,22,0.6525054998335889,0.9878636981639579,5.439266409314851,1,26,41,0.2168695638966557,2.217391304347826,0
26,24515.3576184641,8229.224067898722,25,1,2,40,0.49785494710096534,0.18122360940082627,2.3353514629655376,1,41,0,0.7435535225742373,0.24390243902439024,1
25,70969.65302101185,24892.9579371438,7,5,3,92,0.808693809415502,0.7536861785943232,1.160255427266291,0,38,26,0.562104986202296,0.27956989247311825,1
29,59755.49642168677,11298.842064949615,19,3,2,46,0.6315635260244468,0.9918234955667761,7.369365005658205,1,0,35,0.35642722281856976,0.9574468085106383,0
51,35315.333560579245,4895.7171713834705,16,4,1,15,0.33090642436888,0.9553074658708359,9.94747605387163,1,26,42,0.28020227961685285,3.25,0
50,47169.40725324305,11118.96046320104,4,2,4,63,0.1348959814900976,0.5649148240396016,10.333011151608451,1,8,32,0.6597136271504536,0.65625,1
65,81966.43615282066,12359.578118047993,8,4,2,56,0.707467227249265,0.3120273685678727,11.601016186682088,0,29,25,0.27278611077160736,0.43859649122807015,1
40,64670.95627011731,27439.70182180612,7,1,3,78,0.304375382605648,0.01166367986285266,6.789335347249304,1,11,13,0.6562303704645478,0.2911392405063291,1
41,50175.67309796296,22398.609699013898,6,2,1,97,0.32441568811424626,0.8982356448325574,3.312163597178074,1,8,21,0.546042772615114,0.3163265306122449,1
54,45246.333660780314,24180.16493305794,36,0,0,53,0.45977101709509316,0.035594748854527625,8.460860704121199,1,3,43,0.534399775119057,0.9814814814814815,1
52,51532.18140903319,21559.78913877429,35,5,4,60,0.6999741239207655,0.576422138380379,10.822121389593777,1,30,31,0.8064665910862884,0.6721311475409836,1
61,39764.728841153934,22569.949372922514,2,1,2,74,0.8394558688623601,0.1861494396228941,3.0425500907270076,1,48,10,0.8190457039785365,0.26666666666666666,1
57,10000.0,9495.342987357455,7,1,1,78,0.27301750742689057,0.24198314009643962,4.8266044351664865,1,39,28,1.4493893597997656,0.4810126582278481,1
39,90843.55821069461,13411.182757172126,4,0,3,34,0.8056130084980317,0.02335162321771478,9.614655813652867,1,2,37,0.3127450154061891,1.3428571428571427,1
44,53106.49998398803,7080.677495811609,4,5,3,59,0.5834980194423235,0.036906304893151054,3.58123356612753,1,16,28,0.41577324299710877,0.6333333333333333,1
52,57962.94530245074,13316.095755703733,16,4,1,32,0.7844632808371425,0.35020570075231516,10.88456824304381,0,33,9,0.315991184867282,0.2727272727272727,1
18,48841.84500246183,20472.83992747793,26,1,3,97,0.7785662575854636,0.8775600137691921,10.265803354487087,1,41,0,0.7262648178190683,0.10204081632653061,1
52,35297.66398550824,16076.666278497974,39,0,4,55,0.4139073243735697,0.5658333124646825,6.5562882003844445,1,31,48,1.0220405591925275,1.0357142857142858,1
54,46281.510381024586,25491.846551682363,38,5,0,93,0.6425070506052949,0.5383064903387927,11.974970816475576,1,38,38,0.5507878968063451,0.5106382978723404,1
64,18012.104756113775,5868.673662182246,11,0,3,31,0.8572850541919309,0.6203022419783288,4.246954155586959,1,43,19,1.1585273024684581,0.90625,1
31,95541.7299610661,19001.906805585917,27,5,3,56,0.63790759578886,0.5353336780497289,11.246158425722538,0,40,29,0.35588167534507104,0.5087719298245614,0
20,25309.76003155208,5013.577585045456,3,1,0,38,0.4665274594154155,0.30424455369611303,4.200800415037416,0,42,33,0.19808087859849297,0.8461538461538461,1
18,29360.67432305641,15753.411753389139,27,3,4,36,0.3975690972613066,0.8799703485894151,8.640465824865924,1,44,30,1.2176898142798889,1.0810810810810811,1
22,41194.815912271995,20922.66738045183,24,1,4,48,0.2146508716291174,0.47560331571247827,9.307301171889758,0,1,38,0.9933695079033792,0.7755102040816326,1
43,75761.51449704755,13283.979465406246,35,5,4,8,0.8990373648923112,0.7526517371990183,8.154763704274234,0,10,41,0.43931988908186664,4.555555555555555,1
31,50290.17998525308,19409.012832695647,2,3,3,52,0.6262547748381575,0.9120457491909109,6.901165621289092,0,7,49,0.6841957743442374,0.9245283018867925,1
56,25277.284079390753,7322.141321336528,30,4,3,20,0.32124560699128457,0.0037273097711031378,8.179005278076744,0,34,43,0.8830560354187825,2.0476190476190474,1
44,75086.76721514679,1690.4801744289362,36,0,4,64,0.15955896592448884,0.47813759372987574,1.2545568379217247,1,36,42,0.2888683600389906,0.8,0
26,64620.012535709626,19456.236979902424,11,2,3,51,0.7031356719763487,0.6046157006149505,10.69190157421635,1,26,29,0.5332048451091954,0.75,1
32,60768.699144329046,28952.08187260586,36,1,2,79,0.7840572635791291,0.5023930104410894,6.860873948771878,1,28,47,0.6409786854480557,0.7125,1
32,64314.68482341681,7031.640478640863,36,2,3,19,0.44223729838340975,0.9024157342553503,6.3264532702647704,1,8,38,0.34255470557656764,2.4,0
43,97887.23801164902,24777.55344085436,3,4,4,98,0.8648650507037787,0.9400481084041464,7.321621590515343,1,8,13,0.4574354830610567,0.23232323232323232,1
59,93701.89790072225,15347.387270531288,29,1,1,60,0.3627841176162233,0.1342895409901298,7.277780795192164,1,16,34,0.21714789751848704,0.7213114754098361,0
30,36265.6931399341,4314.467826455391,37,2,4,95,0.704848890881775,0.3024617912769242,9.018526084241625,1,1,24,0.6704352043523418,0.3541666666666667,1
68,82477.69985622304,5947.957589182699,37,4,1,20,0.31038595188372603,0.26387970557658214,1.961998519868435,1,21,28,0.13273678668877165,1.8095238095238095,0
49,57663.363795178004,15126.2781868852,26,3,3,5,0.36874976110605295,0.4967681391733496,11.348288380627302,0,16,39,0.5224418723129035,6.5,1
56,59981.91632275499,11764.30169660717,21,4,3,29,0.5843122778169649,0.3821050550585493,11.347613249840547,0,1,0,0.44619874019786404,0.0,1
66,16154.583367133426,4496.696185934088,0,1,1,68,0.1293329505196022,0.35921618847377335,1.1379290784429916,1,23,34,0.5878275002593818,0.6376811594202898,1
69,46592.28469223608,1447.6857501967588,37,5,4,96,0.26865549037674424,0.5339007289903196,6.765769881790038,1,37,20,0.4603171013133278,0.30927835051546393,1
49,33743.5281932687,8226.24537658795,19,5,0,47,0.24107660868993783,0.4900664563133621,9.061198419542894,0,25,16,0.24378012723938183,0.3333333333333333,0
21,66561.17629786619,16550.472066648945,17,5,0,18,0.3623901978753701,0.46537533350237636,4.076866461572196,1,16,13,0.2486467989355617,1.2105263157894737,0
47,71421.6100080561,14948.793979174896,5,1,4,52,0.7219718460657016,0.11321396633111891,8.030221370932175,1,2,9,0.48932395463051337,0.3584905660377358,1
54,10000.0,10990.096339999374,11,1,3,72,0.8260812309493449,0.5392662135497056,8.21565301203836,1,21,9,2.598749759024035,0.2602739726027397,1
40,49559.302719914594,16615.097554331864,16,4,1,18,0.11013804488591719,0.058960616604662786,3.3900013101216793,1,32,0,0.43613731894430835,0.5263157894736842,1
56,72437.23009588504,23320.2137589015,21,1,1,84,0.30579382167360586,0.6163493591112891,3.3161809539871534,1,5,11,0.39095673267299047,0.24705882352941178,0
62,46266.4207537311,18153.012083473182,17,4,4,19,0.12031115604227348,0.6234377234423626,9.276410419946625,1,41,14,0.8246193857779816,1.2,1
32,64581.27290004729,14029.530628883354,9,5,4,81,0.7889946683315923,0.26059061497494884,8.802965608249846,1,39,14,0.5269175131316637,0.2926829268292683,1
60,57023.309352541684,22424.57605328551,23,0,2,21,0.258986836052818,0.13531281886287228,10.494596725610492,1,11,41,0.5686097108660604,2.3181818181818183,1
46,56833.20463905253,7321.19758226964,19,0,1,96,0.716558209319027,0.7982746811536583,10.723666114633545,0,16,32,0.21679194176324176,0.32989690721649484,0
53,44573.70043863405,13200.643683557188,11,0,2,56,0.12664399246433541,0.770382799762539,2.738278410875039,1,32,5,0.5204890544468715,0.2631578947368421,1
30,25668.38391728581,13391.296515197055,3,2,3,14,0.41870729832773457,0.9460074047970327,9.834860360448927,1,38,45,1.1060373169329671,3.6666666666666665,1
49,27569.39705149945,5104.373932457238,4,0,1,21,0.386899862135492,0.4463093417820886,8.303882460894854,1,42,29,0.3664935950535286,1.7727272727272727,0
24,64187.050289106344,11641.006701725139,25,0,4,12,0.363467238894172,0.3155515943700884,8.093384377422442,1,47,27,0.4929423242988747,2.8461538461538463,1
68,50389.16511037766,1000.0,35,4,4,6,0.5561413208155508,0.30260800654575504,3.9730755429258893,1,48,41,0.4167479894935913,7.285714285714286,1
39,47229.755107855504,30297.42438130363,15,4,3,60,0.41304712331913407,0.18018334362732613,10.119544080143768,1,24,30,0.9590662753086003,0.6557377049180327,1
45,41522.19915355295,7500.689692509496,4,5,0,69,0.4225844572133718,0.3497327810695573,11.889048574518863,0,31,16,0.1806385308793746,0.22857142857142856,1
19,43896.22309038496,27688.913051370495,25,1,2,59,0.25136277250200356,0.12779749126170858,2.7924637154560146,1,13,32,0.8585716908281082,0.7,1
59,70938.23588976279,15304.67604575594,18,1,4,73,0.43160452416365036,0.8720360716900825,9.13788236739583,0,31,20,0.49767488475091887,0.2702702702702703,1
